//Index   Message
161       "No puedes mandar duelo en este momento"
162       "El player Rechazo su solicitud de duelo automaticamente"
163       "Alguna vez le han Preguntado o le han pedido duelo"
164       "EL Player Jamas ha sido solicitado o se le ha pedido duelo"
165       "Usted no puede pedir duelo, estar en war"
166       "No puedes pedir duelo ,estas Guild War"
167       "No puedes dueliar en este mapa"
168       "No puedes dueliar durante Castle Siege"
169       "Nombre del player no es valido"
170       "Usted no puede dueliar con Autodefensa"
171       "El jugador no puede apuntar al duelo"
172       "El jugador  rechazó su solicitud de duelo"
173       "Todas las arenas están llenas en el momento"
174       "Duelo entre %s vs %s Empezo!"
175       "Player %s Derroto a %s en duelo!"
176       "Illusion Temple se Cierra en %d minuto(s)"
177       "Illusion Temple Cerró"
178       "Illusion Temple %d Comenzará en %d minuto(s)"
179       "Illusion Temple Empezo"
180       "Illusion Temple Termino"
181       "No eres tan fuerte para entrar en el Illusion Temple"
182       "No TIenes La Entrada para entrar al Illusion Temple"
183       "player %s dropeo el artefacto"
184       "player %s Agarro el artefacto"
192       "La Invasion de Skelenton King ha Comenzado!"
193       "La Invasion de Red Dragon ha Comenzado!"
194       "La Invasion de Dorados ha Comenzado!"
195       "La Invasion de White Wizard ha Comenzado!"
196       "New Year invasion ha Comenzado!"
197       "Invasion de rabbits ha Comenzado!"
198       "Invasion de summer ha Comenzado!"
199       "Christmas invasion ha Comenzado!"
200       "Invasion de Medusa ha Comenzado!"
202       "Player %s a derrotado al Skeleton King!"
203       "Player %s a derrotado al Red Dragon!"
204       "Player %s a derrotado al Golden Great Dragon!"
205       "Player %s a derrotado al White Wizard!"
206       "Player %s a derrotado al Cursed Santa!"
207       "Player %s a derrotado a Medusa!"
208       "Merchant Moss Aparecio!"
209       "Merchant Moss Izquierda!"
210       "Invasion de invoking Demons ha Comenzado!"
211       "Invasion de eggs Event ha Comenzado!"
224       "Debes tener al menos nivel %d para mover"
225       "Debes tener al menos %d zen para mover"
226       "No puedes moverte en este momento"
227       "Los asesinos no pueden moverse"
228       "Usted no tiene el equipo correcto para moverse"
229       "Sólo los miembros de las familias de gens pueden moverse"
230       "Necesitas ser nivel máximo %d para moverse"
231       "Debes tener al menos %d resets para moverse"
232       "You need to have a maximum of %d resets to move"
240       "Senior no esta activo actualmente"
241       "Senior no trabaja durante Castle Siege"
242       "Tiene que estar el dueño del castle para usar Senior"
243       "Usted debe ser dueño del Clan para usar Senior"
244       "Guardsman no trabaja durante Castle Siege"
245       "Ya estás en un Clan"
246       "No tienes suficiente nivel para crear un Clan"
247       "La tienda está vacía"
248       "Usuario: Free"
249       "Usuario: Vip1 (%s)"
250       "Usuario: Vip2 (%s)"
251       "Usuario: Vip3 (%s)"
256       "Bienvenido %s !"
257       "Debe tener al menos el nivel 40 para usar el anillo"
258       "Debe tener al menos el nivel 80 para usar el anillo"
259       "No puedes moverte a este mapa a tiempo"
260       "No puede recoger este elemento en este momento"
261       "Usted no puede dejar el juego con un trade abierto"
262       "No puedes dejar el juego con un pecho abierto"
263       "No puedes dejar el juego con Chaos Machine abierto"
264       "No puedes dejar el juego con un Trainer abierto"
265       "No puedes dejar de jugar en Self Defense"
266       "Estás al nivel máximo"
267       "Estás en el nivel máximo master"
268       "Sólo puede agregar %d Puntos"
269       "No puedes hablar durant %d Segundos"
270       "No puedes enviar mensajes a ti mismo"
271       "Hola, Soy el Guardia Alegre"
272       "No fue posible realizar teletransporte"
273       "Te teletransportarán en %d Segundo(s)"
274       "No puede mover este mapa"
275       "No se puede mover a este mapa sin alas"
276       "Tienda de regalos"
304       "Ice Walker apareció!"
305       "No eres tan fuerte como para entrar en DoubleGoer "
306       "Ice Walker fue Derrotado!"
320       "¡¡¡SELUPAN APARECIO!!!"
321       "Selupan Puertas Cerradas"
322       "%s Derrotó a Selupan!"
323       "Permanece Conectado y Suma PCPoints"
324       "Servidor Gratuito, 24/7 Online sin Caidas"
325       "¡¡¡Medusa cada 24hs!!!"
336       "Refinement Tower Cierra en 60 minuto(s)"
337       "Refinement Tower Cierra en in 20 minuto(s)"
338       "Puerta de Kanturu se abrirá en 2 minuto(s)"
339       "La batalla contra Maya comenzará pronto, prepárate"
340       "La siguiente batalla comenzará en 1 minuto(s)"
341       "Nightmare Apareció Derrotalo paraa liberar Torre de Refinamiento"
342       "Nightmare fue derrotado! Refinement Tower ha sido puesto en libertad"
343       "Se acabó el tiempo, se eliminará del evento"
352       "Castle Deep empieza en 5 minuto(s)"
353       "Castle Deep Empezo"
354       "Castle Deep Cerró"
355       "Erohim fue asesinado por %s"
356       "%s Fue Asesinado por %s"
368       "Balgass unió sus fuerzas con el ejército de Kundun y se prepara para atacar la fortaleza de Crywolf"
369       "Armada de Balgass está listo para atacar la fortaleza de Crywolf"
370       "Armada de Balgass está marchando a la fortaleza de Crywolf"
371       "Armada de Balgass se acerca a la fortaleza Crywolf"
372       "Ninguna Elfa se ha conectado a los altares, dejando la estatua del lobo desprotegida"
373       "Balgass estará vivo al final de la batalla"
374       "¡La defensa falló! Estatua de lobo sagrado fue tomada por Balgass"
375       "¡La defensa tuvo éxito! Estatua del lobo sagrado estaba protegido"
376       "El período de conexión con Wolf Altars empieza en %d Segundo(s)"
377       "Comienza el período de conexión con Wolf Altars in %d minuto(s)"
378       "Armada of Balgass atacará en %d segundo(s)"
379       "Armada of Balgass atacará en %d minuto(s)"
380       "Sin la protección de las elfas la estatua del lobo estaba desprotegida"
381       "¡Balgass está llegando! Proteja la estatua del lobo santo"
382       "Armada de Balgass comenzó a atacar la estatua del santo lobo"
383       "Armada de Balgass fue derrotada con ayuda de héroes"
384       "MvP Rank: %d"
385       "MvP Experience: %d"
386       "Balgass fue asesinado por %s!"
387       "¡Balgass esta muerto!"
388       "Dark Elf %d fue asesinada por %s!"
389       "MvP Point: %d"
390       "Conectado con el altar %d"
391       "%s Está conectado al altar %d"
392       "Altar esta conectado %d"
393       "Período de conexión al pedestal %d no ha comenzado todavía"
394       "Altar %d Ya ha conectado más de 2 veces"
395       "Posición para conectar con el altar %d Está Mal" 
396       "%s Está tratando de conectar con el altar %d"
397       "Estará conectado con el altar en 5 segundo(s)" 
398       "No se mueva hasta que la conexión esté completa"  
399       "Conexión al altar %d fue cancelado"
400       "Estatua de barrera de lobo santo desaparecido" 
401       "Número de conexiones: %d, Vida de la estatua: %d" 
402       "La barrera de la estatua de lobo santo fue creada"
403       "La conexión requiere un nivel 260 o superior"
416       "Se acabó Castle Siege"
417       "Se inició el período de registro del Castle Siegue"
418       "Registro de los emblemas de Castle Siege"
419       "El período de selección de los clanes de Castle Siege comenzó"		
420       "Selección de los clanes de Castle Siege completados"
421       "El período de preparación para Castle Siege comenzó"
422       "Castle Siege comenzará en %d minuto(s)"
423       "Castle Siege está siendo disputado"
424       "Guild %s Fue bien sucedido en la defensa del castillo"
425       "Guild %s Se convirtió en nuevo dueño del castillo"
426       "Propietario del castillo no fue establecido"
427       "Sólo la estatua del Guardian izquierda"
432       "El Player %s Ha sido cambiando a  Guild Asistente"
433       "El Player %s Ha sido cambiado a Battlemaster"
434       "El Player %s Ha sido cambiado a Guild Miembro"
435       "Tipo de Clan %s Fue cambiado a %d"
436       "Guild ha entrado en alianza %s"
437       "Guild Ahora es Enemigo del guild %s"
438       "Guild %s ha entrado en alianza %s"
439       "Guild Se retiró de la alianza"
440       "Guild %s Se retiró de la alianza %s"
441       "Guild No es más alianza %s"
442       "Guild No es más enemigo del guild %s"
443       "Alianza fue deshecha %s"
448       "No se puede invocar la piedra de la vida fuera del castle siegue"
449       "Sólo una alianza ofensiva puede invocar a Life Stone"
450       "Una piedra de la vida se ha invocado"
451       "No se puede invocar Life Stone dentro de Dragon Tower"
452       "Una piedra de la vida fue invocada con éxito"
453       "Una piedra de la vida no pudo ser invocada"
464       "No se puede invocar a un soldado de Castle Siege"
465       "Sólo la alianza defensiva puede invocar al soldado"
466       "Sólo el líder del clan y su asistente pueden invocar al soldado"
467       "Se ha superado el número máximo de soldados"
468       "El soldado ha sido invocado con éxito"
469       "El soldado no pudo ser invocado"
480       "Servidor cerrando"
481       "El servidor se cerrará automáticamente en %d Segundos(s)"
482       "Esto es un ITEM DUPLICADO, por favor póngase en contacto con el administrador"
483       "Se cerró el bloqueo de conversación"
484       "Saldrás del juego en %d Segundo(s)"
485       "Defensa personal contra %s Empezo"
486       "Defensa personal contra %s Termino"
487       "El servidor se apagará automáticamente en 1 minuto(s)"
488       "El servidor se apagará automáticamente en 3 minuto(s)"
489       "El servidor se apagará automáticamente en 5 minuto(s)"
490       "El Servidor comenzará automáticamente en 10 segundo(s)"
491       "%s won %d Jewel of Bless" 
492	  "%s Mato al Feniz"	
493       "Usted Gano %d punto(s) de evento y %d Golds"
494       "%s Mato a un Golden"
495       "Usted Gano %d punto(s) de evento y %d Golds"
496       "%s Mato al Erohin"
497       "Usted Gano %d punto(s) de evento y %d Golds"
498       " "
499       "Remova os Errtels antes de colocar"
500	  "[Rey del MU] El Evento Comenzo"
501	  "[Rey del MU] El Evento Termino"
502       "[Rey del MU] Comienza en %d minuto(s)"
503       "[Rey del MU] El Guild %s tomo el castillo!"
504       "[Rey del MU] Comienza en %d Segundo(s)"
505       " "
506       "Usted no es miembro de un guild!"
507       "Su Guild ya es dueño del castillo!"
508       "Usted no esta en la cordenada correcta"
509       "Su Guild debe tener minimo %d miembros!"
510       "Su Guild ahora es dueño del castillo!"
511       "[Rey del MU] Termina en %d minuto(s)!"
512 	  " "
513 	  "Inventório limpo con Exito!"
514 	  "Servidor 24 horas y 7 Dias Online!"
515       "%s mato %s"
516       "%s mato %s"
517       " "
518       "Usted no tiene permiso para usar /setvip"
519       "Vip adicionado con Exito!"
520       "Esa cuenta no Existe!"
521       "%s Usted no precisa mas de mi ayuda!"
522       "%s Su plan vip no permite el uso de este buff"
523       "%s Zen necessario: %d"
524       "%s PCPoints necessarios: %d"
525       "%s Usted precisa estar en la familia Vanert"
526       "%s Usted precisa estar en la familia Duprian"
527       "%s Usted precisa estar en la familia Duprian"
528       "%s Usted precisa estar en la familia Vanert"
529       "%s Puntos necesarios de familia: %d"
530       "%s Tiempo: %d Minutos(s)"
531       "%s Removido %d Zen"
532       "%s Removido %d PCPoint(s)"
533       "%s Buff Aplicado!"

602 	  "¡¡¡No Puedes Casarte!!!"
603 	  "Te Acabas de Casar con %s!"
604 	  "¡Ya Estas Casado!"
605 	  "El Otro personaje ya esta casado!"
606 	  "Use: [/marry to Nombre | /marry divorce | /marry track or trace]!"
607 	  "Usted no puede divorciarce en la primer semana de casado!"
608 	  "Usted acaba de divorciarce"
609 	  "¡No Estas Casado!"
610 	  "Has tracked!"
611 	  "Has traced!"
612 	  "%s Recien casado con %s!"
613 	  "%s Recien divorciado con %s!"
614 	  "[Marry System] Mensaje Global"
615 	  "SE CASARON %s y %s!"
616 	  "[Marry System]No Se Permite HOMOSEXUALES"
617 	  "Necesita al menos %d level para usar el comando"
618 	  "El/ella necesita al menos %d level para usar el comando"
619 	  "Marry system esta desactivado"
620 	  "Necesita al menos %d zen Para usar el comando"
621 	  "Necesita estar en la posicion correcta en devias2"
622 	  "Su Pareja necesita estar en la cordenada correcta en devias2"
623 	  "Info: [Minimum Level : %d | Track&Trace Cost : %d zen]!"
624 	  "No podes divorciarte Mientas esta desconectado"
625 	  "EL Otro Personaje esta desconectado"
626 	  "Skin %d aplicado a %d"
627 	  "Personaje %s no está online!"
628 	  " "
629 	  " "
630	  "Usted precisa al menos %d para usar ese comando!" 
631	  "Permitido usar adentro de las ciudades"
632	  "Usted y su oponente necesitan estar lvl %d para duelar!"
633	  "Comando no habilitado para su cuenta" 
634 	  "Comando: [/classe dw, dk, elf, mg, dl, su]"
635	  "Usted debe elegir una raza diferente a la suya" 
636	  "Ustede debe remover los items del inventario primero" 
637	  "Raza no disponible"
638	  "Resets necesarios: %d!"
639	  "[STAFF] %s está Online!"
640	  "%s Esta Conectado"
641       "Usted no tiene persimo para usar!"
642       "Personaje no encontrado!"
643 	  "Comando: [/premiar CHAR TIPO VALOR]"
644	  "Tipo de premio no disponíble!"
645	  "Valor del premio mayor que o permitido!"
646	  "Premio entregado sin problemas!"
647	  "No se puede premiar a uno mismo!"
648 	  "Comando: [/reload tipo | Ex: /reload common]"
649 	  "Reload executado com sucesso!"
650 	  "Comando: [/premiarall TIPO VALOR]"
651 	  "El nombre no debe de tener mas de 10 letras."
652 	  "Ese nombre ya existe."
653       "Aguarde %d segundos para utilizar novamente."
654       "El nombre ya existe"
655       "Nombre cambiado con exito!"
656       "Nombre no modificado!"
657       "El personaje %s cambio el nombre para %s!"
658       "Debes salir del gremio para cambiar de nombre."
659       "Usted no puede utilizar ahora."
660	  "[VELOZ] Comienza en %s!"
661	  "[VELOZ] El evento termina en %d minuto(s)!"
662	  "[VELOZ] El evento termina en %d segundo(s)!"
663	  "[VELOZ] Ganador: %s!"
664	  "[VELOZ] Fin del Evento - No hubo Ganador"
665 	  "[VELOZ] Corre para la cordenada x%d y%d"
666	  "[VELOZ] Fin del Evento - Se Cancelo"
667       "Personaje no encontrado - o desconectado"
668       "Cuenta baneada con Exito!"
669       "Personaje baneado con Exito!"
670	  "[EVENTO] Cierra en %d segundo(s)"
671	  "[EVENTO] Tiempo para participar acabo!"
672	  "[EVENTO] Cancelado!"
673	  "[EVENTO] %s inicio un evento!"
674	  "[EVENTO] Digite /participar para entrar!"
675	  "[EVENTO] Participante %s adicionado!"
676	  "[ESCESC] Acaba en %d segundo(s)"
677	  "[ESCESC] Acabo sin vencendor!"
678	  "[ESCESC] Cancelado!"
679	  "[ESCESC] %s Inicio el evento!"
680	  "[ESCESC] Busque al GM y de trade!"
681	  "[ESCESC] %s Termino el evento!"
682	  "[ESCESC] El evento termina en %d minuto(s)!"
683	  "[PEGAPEGA] Cerrado!"
684	  "[PEGAPEGA] Evento iniciado. Correcta denegada!"
685	  "[PEGAPEGA] Tiempo agotado!"
686	  "[PEGAPEGA] Cancelado!"
687	  "[PEGAPEGA] Abrio!"
688	  "[PEGAPEGA] Digite /queroir para participar!"
689	  "[PEGAPEGA] Participante %s adicionado!"
690	  "[PEGAPEGA] %s vencio el evento!"
691	  "[PEGAPEGA] %s ah sido atrapado!"
692	  "[QUEST %d] Usted necesita estar en el nivel %d ou +!"
693	  "[QUEST %d] Usted necesita tener %d Reset(s) ou +!"
694	  "[QUEST %d] Usted necesita tener %d Master Reset(s) ou +!"
695	  "[QUEST %d] Usted necesita tener %d zen ou +!"
696	  "[QUEST %d] Usted debe ir para %s (x%d,y%d)!"
697	  "[QUEST %d] Usted no tiene el plan vip necesario!"
698	  "[QUEST %d] Item necesario: %s!"
699	  "[QUEST %d] Usted debe matar %d %s (Faltan: %d)!"
700	  "[QUEST] Enhorabuena, has concluido todas las misiones!"
701	  ""
702	  ""
703	  ""
704	  "[RuletaRussa] Cerro!"
705	  "[RuletaRussa] Evento iniciado!"
706	  "[RuletaRussa] Tiempo agotado!"
707	  "[RuletaRussa] Cancelado!"
708	  "[RuletaRussa] Abrir (Max Participantes: %d)!"
709	  "[RuletaRussa] Digite /queroir para participar!"
710	  "[RuletaRussa] Participante %d: %s adicionado!"
711	  "[RuletaRussa] %s venceu o evento!"
712	  "[RuletaRussa] Colocando a bala no tambor...!"
713	  "[RuletaRussa] Girando o tambor...!"
714	  "[RuletaRussa] Engatilhando...!"
715	  "[RuletaRussa] FOGO!"
716	  "[RuletaRussa] HeadShot %s fue eliminado!"
717	  "[RuletaRussa] %s escapo ileso!"
718       "[Rey del MU] Entrega de los Premios!!"
719       "[Rey del MU] El Guild %s Gano el Evento"
720       "[Rey del MU] Dona tiempo: %d minuto(s)!"
721       "[Rey del MU] Todos los miembros del guild ganaran"
722       "[Rey del MU] PCPoints"
723       "[Rey del MU] Los Personajes mas Consagrados"
724       "[Rey del MU] %d°: %s (Guild: %s)!"
725       "[Rey del MU] Ganaran PcPoints"
726       "[Rey del MU] No Tuvo Ganador"
730	  "[BC] Usted Gano: %d Cash, %d Gold, %d PcPoint!"
731	  "[CC] Usted Gano: %d Cash, %d Gold, %d PcPoint!"
732	  "[DS] USted Gano: %d Cash, %d Gold, %d PcPoint!"
733 	  "Comando: [/top tipo classe | Ex: /top rr dk]"
734 	  "Comando: [Classe: dk,dw,fe,mg,dl,su]"
735 	  "Sin resultados!"
736 	  "%d° Colocado: %s (%d)"
737 	  "Puntos redistribuidos"
738  	  "%s alcanzo la patente %s!"
739  	  "Usted alcanzo la patente %s!"
740       "Fui desactivado =("
741	  "Usted necesita tener 64 piezas del mismo tipo en el inventário"
742       "Muchas gracias, ya tome los articulos y entregue su premio."
743       "Disculpe, no tengo interes en estos items."
744	  "Usted ha cambiado sus articulos por premios!"
745	  "[%s] Comienza en %d minuto(s)!"
746	  "[%s] Pergunta: (Use /resp para responder)"
747	  "[%s] %s"
748	  "[%s] %s vencio el evento!"
749	  "[%s] No hubo vencedor!"
750	  "[%s] Respuesta incorrecta!"
751	  "[%s] Respuesta: %s"
752	  "[PickUp %s] Habilitado!"
753	  "[PickUp %s] Desabilitado!"
754	  "[PickUp] Desabilitado!"
755	  "[ReMaster] MasterSkillTree reseteada!"
756	  "[ReMaster] MasterSkillTree error al resetear!"
757	  "[BuyVip] Usted no tiene el valor necesario para comprar!"
758	  "[BuyVip] Enhorabuena usted ha firmado el %s!"
759	  "[BuyVip] El plan elegido es inferior a su plan actual!"
760	  "Descontado %d WC de su cuenta!"
761	  "Descontado %d WP de su cuenta!"
762	  "Descontado %d GP de su cuenta!"
763	  "No se puede usar el atajo automatico con MuHelper ativo!"
764	  "Usted no puede usar MuHelper con custom attack ativo!"
765	  "No puede utilizar encima del nivel: %d"
766	  "Valor para usar: %d WC!"
767	  "Valor para usar: %d WP!"
768	  "Valor para usar: %d GP!"
769	  "Equipo Alianza vencio el evento!"
770	  "Equipo Phanton vencio el evento!"
771	  "[OffPvp] Ativado"
772	  "[OffPvp] Desativado"
773	  "[Lock] Ativado - Items bloqueados!"
774	  "[Lock] La contraseña debe contener un maximo de 8 caracteres!"
775	  "[Lock] Ya esta activado, utilize /unlock para desbloquear!"
776	  "[Lock] Desactivado!"
777	  "[Lock] Contraseña inválida!"
778	  "[Lock] Accion Bloqueada por contraseña!"
779	  "You can only activate the command in the safe zone"
780	  "Personal Shop is empty or items are without price"
781	  "ATTENTION!! All items in this store are sold for Jewel of Bless"
782	  "ATTENTION!! All items in this store are sold for Jewel of Soul"
783	  "ATTENTION!! All items in this store are sold for Jewel of Chaos"
784	  "ATTENTION!! All items in this store are sold for WCoinC"
785	  "ATTENTION!! All items in this store are sold for WCoinP"
786	  "ATTENTION!! All items in this store are sold for Goblin Point"
787	  "You need to open the Personal Store before"
788	  "O comando será executado durante %d minuto(s)"
789	  "El tiempo usado del /store termino"
790	  "[Attack] Desactivado"
791	  "[Attack] Usted no puede utilizar en ese sitio"
792	  "[Attack] Usted no tiene el Skill necesario para usar"
793	  "[Attack] Tiempo de uso: %d minuto(s)"
794	  "[Attack] Tiempo agotado"
795	  "[Attack] Ativado"
796	  "[OffAttack] Usted debe activar o /attack antes"
797	  "[OffAttack] Usted no puede usar en ese sitio"
798	  "Este Guild no existe!"
799	  "[PvP] Tempo agotado!"
800	  "[PvP] Cancelado!"
801	  "[PvP] %s x %s iniciado!"
802	  "[PvP] %s %d x %d %s!"
803	  "[PvP] %s vencio el evento!"
804	  "[PvP] Iniciado!"
805	  "[MataMata] Cerrado!"
806	  "[MataMata] Evento iniciado!"
807	  "[MataMata] Tiempo esgotado!"
808	  "[MataMata] Cancelado!"
809	  "[MataMata] Abrir (Max Participantes: %d)!"
810	  "[MataMata] Digite /queroir para participar!"
811	  "[MataMata] Player %d: %s adicionado!"
812	  "[MataMata] 1º - %s (%d puntos)!"
813	  "[MataMata] 2º - %s (%d puntos)!"
814	  "[MataMata] 3º - %s (%d puntos)!"
815	  "[MataMata] Su posicion: %dº (%d puntos)!"
816	  "[MataMata] Score: %d puntos!"
817	  "El nuevo nombre contiene textos no permitidos!"
818       "Necesario: %d master reset(s)."
819       "No permitido con %d master o +"
820       "Comando: [/pack (soul,bless,etc) (10,20,30)]"
821       "Comando: [/unpack (soul,bless,etc) (10,20,30)]"
822       "Usted no tiene el(s) item(s) necessário(s)."
823       "Comando concluido con sucesso."
824       "Usted no tiene espacio en el inventario."
825       "[TvTEvent] cierra en %d minuto(s)"
826       "Entrada para o Evento Team vs Team"
827       "[TvTEvent] cerrado!"
828       "[TvTEvent] comienza en %d minuto(s)"
829       "[TvTEvent] comienza!"
830       "[TvTEvent] acaba!"
831       "[TvTEvent] usted no puede entrar!"
832       "[TvTEvent] No está abierto!"
833       "[TvTEvent] Usted no tiene el item necesario para entrar!"
834	  "Usted no tiene el valor necesario para comprar!"
835	  "No permitido en Trade!"
836	  "Descontando %d Zen por usar el comando!"
837	  "Valor para usar: %d WC, %d WP, %d GP!"
838	  "Digite nuevamente el comando que desea usar!"
839	  "Otro usuário da guild está con el baúl abierto!"
840	  "Usted no tiene autorizacion para usar el baul del Guild!"
841	  "%s ha prohibido el personake %s por %d dias!"
842	  "%s baniu a conta do personagem %s por %d dias!"
843	  "[AntiHack] Detectado el uso de SpeedHack!"
844	  "[Trade] Valor necesario: %d Zen!"
845	  "[Trade] Valor necesario: %d WC!"
846	  "[Trade] Valor necesario: %d WP!"
847	  "[Trade] Valor necesario: %d GP!"
848	  "[Trade] %s No tiene el valoir necesario!"
849	  "[QUEST %d] Necesario %d Cash para realizar!"
850	  "[QUEST %d] Necesario %d Gold para realizar!"
851	  "[QUEST %d] Necesario %d PcPoint para realizar!"
852       "[QUEST %d] Sin espacio en el inventario para recibir premio!"
853       "[QUEST %d] El buff ya está ativo, realize la busqueda despues!"
854       "Falta matar %d monstruos para concluir la mision!"
855       "Mision Concluida!"
856       "[QUEST %d] Usted no tiene la patente necesaria!"
857       "[QUEST %d] Necesario %d Kill(s) para continuar!"
858       "Sala procipiante! Saliendo en %d segundo(s)"
859       "Usted no puede accesder a esa sala! Salindo em %d segundo(s)"
860	  "[QUEST] Enhorabuena, Usted ah concluido con esa mision final!"
end
